account,duration,credit_history,purpose,amount,savings,employment,installment_rate,guarantors,residence,age,credits_number,job,maintenance_people,telephone,foreign,real_estate,life_insurance,car,housing_rent,sex,target
-1,6,4,furniture,3384,1,2,1,1,4,44,1,3,1,1,yes,1,0,0,1,male,0
0,18,2,television,1505,1,2,4,1,2,32,1,3,1,1,yes,0,0,0,0,male,1
0,12,2,car_new,640,1,2,4,1,2,49,1,1,1,0,yes,1,0,0,0,male,1
1,36,2,car_new,14318,1,4,4,1,2,57,1,3,1,1,yes,0,0,0,0,male,0
1,36,0,business,1953,1,4,4,1,4,61,1,3,1,1,yes,0,0,0,0,male,0
-1,18,2,furniture,2039,1,2,1,1,4,20,1,2,1,0,yes,1,0,0,1,female,0
1,42,1,car_used,9283,1,0,1,1,2,55,1,3,1,1,yes,0,0,0,0,male,1
0,15,2,domestic_appliances,1262,3,3,4,1,3,36,2,2,1,1,yes,0,1,0,0,male,1
-1,12,2,car_new,900,0,2,4,1,2,23,1,2,1,0,yes,0,0,1,0,female,0
-1,27,0,business,5293,1,0,2,1,4,50,2,2,1,1,yes,0,1,0,0,male,0
0,4,2,furniture,601,1,1,1,1,3,23,1,1,2,0,yes,1,0,0,1,female,1
1,18,2,car_new,1042,0,2,4,1,2,33,1,2,1,0,yes,0,1,0,0,female,0
0,24,4,television,2872,2,4,3,1,4,36,1,2,2,1,yes,1,0,0,0,male,1
0,12,2,car_used,4675,0,1,1,1,4,20,1,2,1,0,yes,0,0,1,1,female,1
0,24,4,furniture,3777,4,2,4,1,4,50,1,2,1,1,yes,1,0,0,0,male,1
